---
Session started at 3-7-24 at 6:58:50
iTunes sleep time 15 seconds at 12:46:38
iTunes sleep time 15 seconds at 12:46:53
iTunes sleep time 15 seconds at 12:47:08
iTunes sleep time 15 seconds at 12:47:23
iTunes sleep time 15 seconds at 12:47:38
iTunes sleep time 15 seconds at 12:47:53
iTunes sleep time 15 seconds at 12:48:08
iTunes sleep time 15 seconds at 12:48:23
iTunes sleep time 15 seconds at 12:48:38
iTunes sleep time 15 seconds at 12:48:53
iTunes sleep time 15 seconds at 12:49:08
iTunes sleep time 15 seconds at 12:49:23
iTunes sleep time 15 seconds at 12:49:38
iTunes sleep time 15 seconds at 12:49:53
iTunes sleep time 15 seconds at 12:50:08
iTunes sleep time 15 seconds at 12:50:23
iTunes sleep time 15 seconds at 12:50:38
iTunes sleep time 15 seconds at 12:50:53
iTunes sleep time 15 seconds at 12:51:08
iTunes sleep time 15 seconds at 12:51:23
iTunes sleep time 15 seconds at 12:51:38
iTunes sleep time 15 seconds at 12:51:53
iTunes sleep time 15 seconds at 12:52:08
iTunes sleep time 15 seconds at 12:52:23
iTunes sleep time 15 seconds at 12:52:38
iTunes sleep time 15 seconds at 12:52:53
iTunes sleep time 15 seconds at 12:53:08
iTunes sleep time 15 seconds at 12:53:23
iTunes sleep time 15 seconds at 12:53:38
iTunes sleep time 15 seconds at 12:53:53
iTunes sleep time 15 seconds at 12:54:08
iTunes sleep time 15 seconds at 12:54:23
iTunes sleep time 15 seconds at 12:54:38
iTunes sleep time 15 seconds at 12:54:53
iTunes sleep time 15 seconds at 12:55:08
iTunes sleep time 15 seconds at 12:55:23
iTunes sleep time 15 seconds at 12:55:38
iTunes sleep time 15 seconds at 12:55:53
iTunes sleep time 15 seconds at 12:56:08
iTunes sleep time 15 seconds at 12:56:23
iTunes sleep time 15 seconds at 12:56:38
iTunes sleep time 15 seconds at 12:56:53
iTunes sleep time 15 seconds at 12:57:08
iTunes sleep time 15 seconds at 12:57:23
iTunes sleep time 15 seconds at 12:57:38
iTunes sleep time 15 seconds at 12:57:53
iTunes sleep time 15 seconds at 12:58:08
iTunes sleep time 15 seconds at 12:58:23
iTunes sleep time 15 seconds at 12:58:38
iTunes sleep time 15 seconds at 12:58:53
iTunes sleep time 15 seconds at 12:59:08
iTunes sleep time 15 seconds at 12:59:23
iTunes sleep time 15 seconds at 12:59:38
iTunes sleep time 15 seconds at 12:59:53
iTunes sleep time 15 seconds at 1:00:08
iTunes sleep time 15 seconds at 1:00:23
iTunes sleep time 15 seconds at 1:00:38
iTunes sleep time 15 seconds at 1:00:53
iTunes sleep time 15 seconds at 1:01:08
iTunes sleep time 15 seconds at 1:01:23
iTunes sleep time 15 seconds at 1:01:39
iTunes sleep time 15 seconds at 1:01:54
iTunes sleep time 15 seconds at 1:02:09
iTunes sleep time 15 seconds at 1:02:24
iTunes sleep time 15 seconds at 1:02:39
iTunes sleep time 15 seconds at 1:02:54
iTunes sleep time 15 seconds at 1:03:09
iTunes sleep time 15 seconds at 1:03:24
iTunes sleep time 15 seconds at 1:03:39
iTunes sleep time 15 seconds at 1:03:54
iTunes sleep time 15 seconds at 1:04:09
iTunes sleep time 15 seconds at 1:04:24
iTunes sleep time 15 seconds at 1:04:39
iTunes sleep time 15 seconds at 1:04:54
iTunes sleep time 15 seconds at 1:05:09
iTunes sleep time 15 seconds at 1:05:24
iTunes sleep time 15 seconds at 1:05:39
iTunes sleep time 15 seconds at 1:05:54
iTunes sleep time 15 seconds at 1:06:09
iTunes sleep time 15 seconds at 1:06:24
iTunes sleep time 15 seconds at 1:06:39
iTunes sleep time 15 seconds at 1:06:54
iTunes sleep time 15 seconds at 1:07:09
iTunes sleep time 15 seconds at 1:07:24
iTunes sleep time 15 seconds at 1:07:39
iTunes sleep time 15 seconds at 1:07:54
iTunes sleep time 15 seconds at 1:08:09
iTunes sleep time 15 seconds at 1:08:24
iTunes sleep time 15 seconds at 1:08:39
iTunes sleep time 15 seconds at 1:08:54
iTunes sleep time 15 seconds at 1:09:09
iTunes sleep time 15 seconds at 1:09:24
iTunes sleep time 15 seconds at 1:09:39
iTunes sleep time 15 seconds at 1:09:54
iTunes sleep time 15 seconds at 1:10:09
iTunes sleep time 15 seconds at 1:10:24
iTunes sleep time 15 seconds at 1:10:39
iTunes sleep time 15 seconds at 1:10:54
iTunes sleep time 15 seconds at 1:11:09
iTunes sleep time 15 seconds at 1:11:24
iTunes sleep time 15 seconds at 1:11:39
iTunes sleep time 15 seconds at 1:11:54
iTunes sleep time 15 seconds at 1:12:09
iTunes sleep time 15 seconds at 1:12:24
iTunes sleep time 15 seconds at 1:12:39
iTunes sleep time 15 seconds at 1:12:54
iTunes sleep time 15 seconds at 1:13:09
iTunes sleep time 15 seconds at 1:13:24
iTunes sleep time 15 seconds at 1:13:39
iTunes sleep time 15 seconds at 1:13:54
iTunes sleep time 15 seconds at 1:14:09
iTunes sleep time 15 seconds at 1:14:24
iTunes sleep time 15 seconds at 1:14:39
iTunes sleep time 15 seconds at 1:14:54
iTunes sleep time 15 seconds at 1:15:09
iTunes sleep time 15 seconds at 1:15:24
iTunes sleep time 15 seconds at 1:15:39
iTunes sleep time 15 seconds at 1:15:54
iTunes sleep time 15 seconds at 1:16:09
iTunes sleep time 15 seconds at 1:16:24
iTunes sleep time 15 seconds at 1:16:39
iTunes sleep time 15 seconds at 1:16:54
iTunes sleep time 15 seconds at 1:17:09
iTunes sleep time 15 seconds at 1:17:24
iTunes sleep time 15 seconds at 1:17:39
iTunes sleep time 15 seconds at 1:17:54
iTunes sleep time 15 seconds at 1:18:10
iTunes sleep time 15 seconds at 1:18:25
iTunes sleep time 15 seconds at 1:18:40
iTunes sleep time 15 seconds at 1:18:55
iTunes sleep time 15 seconds at 1:19:10
iTunes sleep time 15 seconds at 1:19:25
iTunes sleep time 15 seconds at 1:19:40
iTunes sleep time 15 seconds at 1:19:55
iTunes sleep time 15 seconds at 1:20:10
iTunes sleep time 15 seconds at 1:20:25
iTunes sleep time 15 seconds at 1:20:40
iTunes sleep time 15 seconds at 1:20:55
iTunes sleep time 15 seconds at 1:21:10
iTunes sleep time 15 seconds at 1:21:25
iTunes sleep time 15 seconds at 1:21:40
iTunes sleep time 15 seconds at 1:21:55
iTunes sleep time 15 seconds at 1:22:10
iTunes sleep time 15 seconds at 1:22:25
iTunes sleep time 15 seconds at 1:22:40
iTunes sleep time 15 seconds at 1:22:55
iTunes sleep time 15 seconds at 1:23:10
iTunes sleep time 15 seconds at 1:23:25
iTunes sleep time 15 seconds at 1:23:40
iTunes sleep time 15 seconds at 1:23:55
iTunes sleep time 15 seconds at 1:24:10
iTunes sleep time 15 seconds at 1:24:25
iTunes sleep time 15 seconds at 1:24:40
iTunes sleep time 15 seconds at 1:24:55
iTunes sleep time 15 seconds at 1:25:10
iTunes sleep time 15 seconds at 1:25:25
iTunes sleep time 15 seconds at 1:25:40
iTunes sleep time 15 seconds at 1:25:55
iTunes sleep time 15 seconds at 1:26:10
iTunes sleep time 15 seconds at 1:26:25
iTunes sleep time 15 seconds at 1:26:40
iTunes sleep time 15 seconds at 1:26:55
iTunes sleep time 15 seconds at 1:27:10
iTunes sleep time 15 seconds at 1:27:25
iTunes sleep time 15 seconds at 1:27:40
iTunes sleep time 15 seconds at 1:27:55
iTunes sleep time 15 seconds at 1:28:10
iTunes sleep time 15 seconds at 1:28:25
iTunes sleep time 15 seconds at 1:28:40
iTunes sleep time 15 seconds at 1:28:55
iTunes sleep time 15 seconds at 1:29:10
iTunes sleep time 15 seconds at 1:29:25
iTunes sleep time 15 seconds at 1:29:40
iTunes sleep time 15 seconds at 1:29:55
iTunes sleep time 15 seconds at 1:30:10
iTunes sleep time 15 seconds at 1:30:25
iTunes sleep time 15 seconds at 1:30:40
iTunes sleep time 15 seconds at 1:30:55
iTunes sleep time 15 seconds at 1:31:10
iTunes sleep time 15 seconds at 1:31:25
iTunes sleep time 15 seconds at 1:31:40
iTunes sleep time 15 seconds at 1:31:55
iTunes sleep time 15 seconds at 1:32:10
iTunes sleep time 15 seconds at 1:32:25
iTunes sleep time 15 seconds at 1:32:40
iTunes sleep time 15 seconds at 1:32:55
iTunes sleep time 15 seconds at 1:33:10
iTunes sleep time 15 seconds at 1:33:25
iTunes sleep time 15 seconds at 1:33:41
iTunes sleep time 15 seconds at 1:33:56
iTunes sleep time 15 seconds at 1:34:11
iTunes sleep time 15 seconds at 1:34:26
iTunes sleep time 15 seconds at 1:34:41
iTunes sleep time 15 seconds at 1:34:56
iTunes sleep time 15 seconds at 1:35:11
iTunes sleep time 15 seconds at 1:35:26
iTunes sleep time 15 seconds at 1:35:41
iTunes sleep time 15 seconds at 1:35:56
iTunes sleep time 15 seconds at 1:36:11
iTunes sleep time 15 seconds at 1:36:26
iTunes sleep time 15 seconds at 1:36:41
iTunes sleep time 15 seconds at 1:36:56
iTunes sleep time 15 seconds at 1:37:11
iTunes sleep time 15 seconds at 1:37:26
iTunes sleep time 15 seconds at 1:37:41
iTunes sleep time 15 seconds at 1:37:56
iTunes sleep time 15 seconds at 1:38:11
iTunes sleep time 15 seconds at 1:38:26
iTunes sleep time 15 seconds at 1:38:41
iTunes sleep time 15 seconds at 1:38:56
iTunes sleep time 15 seconds at 1:39:11
iTunes sleep time 15 seconds at 1:39:26
iTunes sleep time 15 seconds at 1:39:41
iTunes sleep time 15 seconds at 1:39:56
iTunes sleep time 15 seconds at 1:40:11
iTunes sleep time 15 seconds at 1:40:26
iTunes sleep time 15 seconds at 1:40:41
iTunes sleep time 15 seconds at 1:40:56
iTunes sleep time 15 seconds at 1:41:11
iTunes sleep time 15 seconds at 1:41:26
iTunes sleep time 15 seconds at 1:41:41
iTunes sleep time 15 seconds at 1:41:56
iTunes sleep time 15 seconds at 1:42:11
iTunes sleep time 15 seconds at 1:42:26
iTunes sleep time 15 seconds at 1:42:41
iTunes sleep time 15 seconds at 1:42:56
iTunes sleep time 15 seconds at 1:43:11
iTunes sleep time 15 seconds at 1:43:26
iTunes sleep time 15 seconds at 1:43:41
iTunes sleep time 15 seconds at 1:43:56
iTunes sleep time 15 seconds at 1:44:11
iTunes sleep time 15 seconds at 1:44:26
iTunes sleep time 15 seconds at 1:44:41
iTunes sleep time 15 seconds at 1:44:56
iTunes sleep time 15 seconds at 1:45:11
iTunes sleep time 15 seconds at 1:45:26
iTunes sleep time 15 seconds at 1:45:41
iTunes sleep time 15 seconds at 1:45:56
iTunes sleep time 15 seconds at 1:46:11
iTunes sleep time 15 seconds at 1:46:26
iTunes sleep time 15 seconds at 1:46:41
iTunes sleep time 15 seconds at 1:46:56
iTunes sleep time 15 seconds at 1:47:11
iTunes sleep time 15 seconds at 1:47:26
iTunes sleep time 15 seconds at 1:47:41
iTunes sleep time 15 seconds at 1:47:56
iTunes sleep time 15 seconds at 1:48:11
iTunes sleep time 15 seconds at 1:48:26
iTunes sleep time 15 seconds at 1:48:41
iTunes sleep time 15 seconds at 1:48:56
iTunes sleep time 15 seconds at 1:49:11
iTunes sleep time 15 seconds at 1:49:27
iTunes sleep time 15 seconds at 1:49:42
iTunes sleep time 15 seconds at 1:49:57
iTunes sleep time 15 seconds at 1:50:12
iTunes sleep time 15 seconds at 1:50:27
iTunes sleep time 15 seconds at 1:50:42
iTunes sleep time 15 seconds at 1:50:57
iTunes sleep time 15 seconds at 1:51:12
iTunes sleep time 15 seconds at 1:51:27
iTunes sleep time 15 seconds at 1:51:42
iTunes sleep time 15 seconds at 1:51:57
iTunes sleep time 15 seconds at 1:52:12
iTunes sleep time 15 seconds at 1:52:27
iTunes sleep time 15 seconds at 1:52:42
iTunes sleep time 15 seconds at 1:52:57
iTunes sleep time 15 seconds at 1:53:12
iTunes sleep time 15 seconds at 1:53:27
iTunes sleep time 15 seconds at 1:53:42
iTunes sleep time 15 seconds at 1:53:57
iTunes sleep time 15 seconds at 1:54:12
iTunes sleep time 15 seconds at 1:54:27
iTunes sleep time 15 seconds at 1:54:42
iTunes sleep time 15 seconds at 1:54:57
iTunes sleep time 15 seconds at 1:55:12
iTunes sleep time 15 seconds at 1:55:27
iTunes sleep time 15 seconds at 1:55:42
iTunes sleep time 15 seconds at 1:55:57
iTunes sleep time 15 seconds at 1:56:12
iTunes sleep time 15 seconds at 1:56:27
iTunes sleep time 15 seconds at 1:56:42
iTunes sleep time 15 seconds at 1:56:57
iTunes sleep time 15 seconds at 1:57:12
iTunes sleep time 15 seconds at 1:57:27
iTunes sleep time 15 seconds at 1:57:42
iTunes sleep time 15 seconds at 1:57:57
iTunes sleep time 15 seconds at 1:58:12
iTunes sleep time 15 seconds at 1:58:27
iTunes sleep time 15 seconds at 1:58:42
iTunes sleep time 15 seconds at 1:58:57
iTunes sleep time 15 seconds at 1:59:12
iTunes sleep time 15 seconds at 1:59:27
iTunes sleep time 15 seconds at 1:59:42
iTunes sleep time 15 seconds at 1:59:57
iTunes sleep time 15 seconds at 2:00:12
iTunes sleep time 15 seconds at 2:00:27
iTunes sleep time 15 seconds at 2:00:42
iTunes sleep time 15 seconds at 2:00:57
iTunes sleep time 15 seconds at 2:01:12
iTunes sleep time 15 seconds at 2:01:27
iTunes sleep time 15 seconds at 2:01:42
iTunes sleep time 15 seconds at 2:01:57
iTunes sleep time 15 seconds at 2:02:12
iTunes sleep time 15 seconds at 2:02:27
iTunes sleep time 15 seconds at 2:02:42
iTunes sleep time 15 seconds at 2:02:57
iTunes sleep time 15 seconds at 2:03:12
iTunes sleep time 15 seconds at 2:03:27
iTunes sleep time 15 seconds at 2:03:42
iTunes sleep time 15 seconds at 2:03:57
iTunes sleep time 15 seconds at 2:04:12
iTunes sleep time 15 seconds at 2:04:27
iTunes sleep time 15 seconds at 2:04:42
iTunes sleep time 15 seconds at 2:04:57
iTunes sleep time 15 seconds at 2:05:12
iTunes sleep time 15 seconds at 2:05:27
iTunes sleep time 15 seconds at 2:05:42
iTunes sleep time 15 seconds at 2:05:57
iTunes sleep time 15 seconds at 2:06:13
iTunes sleep time 15 seconds at 2:06:28
iTunes sleep time 15 seconds at 2:06:43
iTunes sleep time 15 seconds at 2:06:58
iTunes sleep time 15 seconds at 2:07:13
iTunes sleep time 15 seconds at 2:07:28
iTunes sleep time 15 seconds at 2:07:43
iTunes sleep time 15 seconds at 2:07:58
iTunes sleep time 15 seconds at 2:08:13
iTunes sleep time 15 seconds at 2:08:28
iTunes sleep time 15 seconds at 2:08:43
iTunes sleep time 15 seconds at 2:08:58
iTunes sleep time 15 seconds at 2:09:13
iTunes sleep time 15 seconds at 2:09:28
iTunes sleep time 15 seconds at 2:09:43
iTunes sleep time 15 seconds at 2:09:58
iTunes sleep time 15 seconds at 2:10:13
iTunes sleep time 15 seconds at 2:10:28
iTunes sleep time 15 seconds at 2:10:43
iTunes sleep time 15 seconds at 2:10:58
iTunes sleep time 15 seconds at 2:11:13
iTunes sleep time 15 seconds at 2:11:28
iTunes sleep time 15 seconds at 2:11:43
iTunes sleep time 15 seconds at 2:11:58
iTunes sleep time 15 seconds at 2:12:13
iTunes sleep time 15 seconds at 2:12:28
iTunes sleep time 15 seconds at 2:12:43
iTunes sleep time 15 seconds at 2:12:58
iTunes sleep time 15 seconds at 2:13:13
iTunes sleep time 15 seconds at 2:13:28
iTunes sleep time 15 seconds at 2:13:43
iTunes sleep time 15 seconds at 2:13:58
iTunes sleep time 15 seconds at 2:14:13
iTunes sleep time 15 seconds at 2:14:28
iTunes sleep time 15 seconds at 2:14:43
iTunes sleep time 15 seconds at 2:14:58
iTunes sleep time 15 seconds at 2:15:13
iTunes sleep time 15 seconds at 2:15:28
iTunes sleep time 15 seconds at 2:15:43
iTunes sleep time 15 seconds at 2:15:58
iTunes sleep time 15 seconds at 2:16:13
iTunes sleep time 15 seconds at 2:16:28
iTunes sleep time 15 seconds at 2:16:43
iTunes sleep time 15 seconds at 2:16:58
iTunes sleep time 15 seconds at 2:17:13
iTunes sleep time 15 seconds at 2:17:28
iTunes sleep time 15 seconds at 2:17:43
iTunes sleep time 15 seconds at 2:17:58
iTunes sleep time 15 seconds at 2:18:13
iTunes sleep time 15 seconds at 2:18:28
iTunes sleep time 15 seconds at 2:18:43
iTunes sleep time 15 seconds at 2:18:58
iTunes sleep time 15 seconds at 2:19:13
iTunes sleep time 15 seconds at 2:19:28
iTunes sleep time 15 seconds at 2:19:43
iTunes sleep time 15 seconds at 2:19:58
iTunes sleep time 15 seconds at 2:20:13
iTunes sleep time 15 seconds at 2:20:28
iTunes sleep time 15 seconds at 2:20:43
iTunes sleep time 15 seconds at 2:20:58
iTunes sleep time 15 seconds at 2:21:13
iTunes sleep time 15 seconds at 2:21:28
iTunes sleep time 15 seconds at 2:21:43
iTunes sleep time 15 seconds at 2:21:58
iTunes sleep time 15 seconds at 2:22:13
iTunes sleep time 15 seconds at 2:22:28
iTunes sleep time 15 seconds at 2:22:43
iTunes sleep time 15 seconds at 2:22:58
iTunes sleep time 15 seconds at 2:23:13
iTunes sleep time 15 seconds at 2:23:28
iTunes sleep time 15 seconds at 2:23:43
iTunes sleep time 15 seconds at 2:23:58
iTunes sleep time 15 seconds at 2:24:14
iTunes sleep time 15 seconds at 2:24:29
iTunes sleep time 15 seconds at 2:24:44
iTunes sleep time 15 seconds at 2:24:59
iTunes sleep time 15 seconds at 2:25:14
iTunes sleep time 15 seconds at 2:25:29
iTunes sleep time 15 seconds at 2:25:44
iTunes sleep time 15 seconds at 2:25:59
iTunes sleep time 15 seconds at 2:26:14
iTunes sleep time 15 seconds at 2:26:29
iTunes sleep time 15 seconds at 2:26:44
iTunes sleep time 15 seconds at 2:26:59
iTunes sleep time 15 seconds at 2:27:14
iTunes sleep time 15 seconds at 2:27:29
iTunes sleep time 15 seconds at 2:27:44
iTunes sleep time 15 seconds at 2:27:59
iTunes sleep time 15 seconds at 2:28:14
iTunes sleep time 15 seconds at 2:28:29
iTunes sleep time 15 seconds at 2:28:44
iTunes sleep time 15 seconds at 2:28:59
iTunes sleep time 15 seconds at 2:29:14
iTunes sleep time 15 seconds at 2:29:29
iTunes sleep time 15 seconds at 2:29:44
iTunes sleep time 15 seconds at 2:29:59
iTunes sleep time 15 seconds at 2:30:14
iTunes sleep time 15 seconds at 2:30:29
iTunes sleep time 15 seconds at 2:30:44
iTunes sleep time 15 seconds at 2:30:59
iTunes sleep time 15 seconds at 2:31:14
iTunes sleep time 15 seconds at 2:31:29
iTunes sleep time 15 seconds at 2:31:44
iTunes sleep time 15 seconds at 2:31:59
iTunes sleep time 15 seconds at 2:32:14
iTunes sleep time 15 seconds at 2:32:29
iTunes sleep time 15 seconds at 2:32:44
iTunes sleep time 15 seconds at 2:32:59
iTunes sleep time 15 seconds at 2:33:14
iTunes sleep time 15 seconds at 2:33:29
iTunes sleep time 15 seconds at 2:33:44
iTunes sleep time 15 seconds at 2:33:59
iTunes sleep time 15 seconds at 2:34:14
iTunes sleep time 15 seconds at 2:34:29
iTunes sleep time 15 seconds at 2:34:44
iTunes sleep time 15 seconds at 2:34:59
iTunes sleep time 15 seconds at 2:35:14
iTunes sleep time 15 seconds at 2:35:29
iTunes sleep time 15 seconds at 2:35:44
iTunes sleep time 15 seconds at 2:35:59
iTunes sleep time 15 seconds at 2:36:14
iTunes sleep time 15 seconds at 2:36:29
iTunes sleep time 15 seconds at 2:36:44
iTunes sleep time 15 seconds at 2:36:59
iTunes sleep time 15 seconds at 2:37:14
iTunes sleep time 15 seconds at 2:37:29
iTunes sleep time 15 seconds at 2:37:44
iTunes sleep time 15 seconds at 2:37:59
iTunes sleep time 15 seconds at 2:38:14
iTunes sleep time 15 seconds at 2:38:29
iTunes sleep time 15 seconds at 2:38:44
iTunes sleep time 15 seconds at 2:38:59
iTunes sleep time 15 seconds at 2:39:14
iTunes sleep time 15 seconds at 2:39:29
iTunes sleep time 15 seconds at 2:39:44
iTunes sleep time 15 seconds at 2:39:59
iTunes sleep time 15 seconds at 2:40:14
iTunes sleep time 15 seconds at 2:40:29
iTunes sleep time 15 seconds at 2:40:44
iTunes sleep time 15 seconds at 2:40:59
iTunes sleep time 15 seconds at 2:41:14
iTunes sleep time 15 seconds at 2:41:30
iTunes sleep time 15 seconds at 2:41:45
iTunes sleep time 15 seconds at 2:42:00
iTunes sleep time 15 seconds at 2:42:15
iTunes sleep time 15 seconds at 2:42:30
iTunes sleep time 15 seconds at 2:42:45
iTunes sleep time 15 seconds at 2:43:00
iTunes sleep time 15 seconds at 2:43:15
iTunes sleep time 15 seconds at 2:43:30
iTunes sleep time 15 seconds at 2:43:45
iTunes sleep time 15 seconds at 2:44:00
iTunes sleep time 15 seconds at 2:44:15
iTunes sleep time 15 seconds at 2:44:30
iTunes sleep time 15 seconds at 2:44:45
iTunes sleep time 15 seconds at 2:45:00
iTunes sleep time 15 seconds at 2:45:15
iTunes sleep time 15 seconds at 2:45:30
iTunes sleep time 15 seconds at 2:45:45
iTunes sleep time 15 seconds at 2:46:00
iTunes sleep time 15 seconds at 2:46:15
iTunes sleep time 15 seconds at 2:46:30
iTunes sleep time 15 seconds at 2:46:45
iTunes sleep time 15 seconds at 2:47:00
iTunes sleep time 15 seconds at 2:47:15
iTunes sleep time 15 seconds at 2:47:30
iTunes sleep time 15 seconds at 2:47:45
iTunes sleep time 15 seconds at 2:48:00
iTunes sleep time 15 seconds at 2:48:15
iTunes sleep time 15 seconds at 2:48:30
iTunes sleep time 15 seconds at 2:48:45
iTunes sleep time 15 seconds at 2:49:00
iTunes sleep time 15 seconds at 2:49:15
iTunes sleep time 15 seconds at 2:49:30
iTunes sleep time 15 seconds at 2:49:45
iTunes sleep time 15 seconds at 2:50:00
iTunes sleep time 15 seconds at 2:50:15
iTunes sleep time 15 seconds at 2:50:30
iTunes sleep time 15 seconds at 2:50:45
iTunes sleep time 15 seconds at 2:51:00
iTunes sleep time 15 seconds at 2:51:15
iTunes sleep time 15 seconds at 2:51:30
iTunes sleep time 15 seconds at 2:51:45
iTunes sleep time 15 seconds at 2:52:00
iTunes sleep time 15 seconds at 2:52:15
iTunes sleep time 15 seconds at 2:52:30
iTunes sleep time 15 seconds at 2:52:45
iTunes sleep time 15 seconds at 2:53:00
iTunes sleep time 15 seconds at 2:53:15
iTunes sleep time 15 seconds at 2:53:30
iTunes sleep time 15 seconds at 2:53:45
iTunes sleep time 15 seconds at 2:54:00
iTunes sleep time 15 seconds at 2:54:15
iTunes sleep time 15 seconds at 2:54:30
iTunes sleep time 15 seconds at 2:54:45
iTunes sleep time 15 seconds at 2:55:00
iTunes sleep time 15 seconds at 2:55:15
